First Name,Last Name,Password,Group1,Group2,Group3
Kayla,Delprat,Password@123,Warehouse,Logistics,Management
Bill,Diggs,Password@123,Warehouse,Logistics,
Luis,Dillingham,Password@123,Warehouse,Logistics,
Simge,Domhof,Password@123,Warehouse,Logistics,
Mollie,Donnelly,Password@123,Plant,Logistics,
Anja,Dresner,Password@123,Plant,Logistics,
Maik,Dresner,Password@123,Plant,Logistics,
Elizabeth,Dullo,Password@123,Plant,Logistics,
Oscar,Duncan,Password@123,Plant,Human Resources,Management
Evie,Eddy,Password@123,Plant,Human Resources,
Ulrich,Eiffel,Password@123,Plant,Human Resources,
Nathan,Ek,Password@123,Plant,Human Resources,
Marlon,Ekström,Password@123,Plant,Human Resources,
Oliver,Elliott,Password@123,Plant,Information Technology,
Everett,Ellis,Password@123,Plant,Information Technology,
Stefan,Engel,Password@123,Plant,Information Technology,
Jacob,Engström,Password@123,Plant,Marketing,Management
Isabelle,Espinosa,Password@123,Plant,Marketing,
Norma,Esposito,Password@123,Plant,Marketing,
Anna,Ewing,Password@123,Plant,Marketing,
Mitchell,Fairley,Password@123,Plant,Marketing,
Birgit,Farber,Password@123,Plant,Marketing,
Adalfredo,Ferri,Password@123,Plant,Marketing,
Xandra,Fijen,Password@123,Plant,Marketing,
Steffen,Fischer,Password@123,Plant,Marketing,
Hayden,Fisher,Password@123,Plant,Marketing,
Pamela,Fisher,Password@123,Plant,Marketing,
Alessio,Folliero,Password@123,Plant,Marketing,
Sjoukje,Frans,Password@123,Plant,Marketing,
Jacintha,Frantzen,Password@123,Plant,Marketing,
Marco,Freeh,Password@123,Plant,Marketing,
Robert,Freytag,Password@123,Plant,Admin Support,Management
Patrick,Fuchs,Password@123,Plant,Admin Support,
Hayden,Fuhrman,Password@123,Plant,Admin Support,
Andreas,Furst,Password@123,Plant,Admin Support,
Jürgen,Furst,Password@123,Plant,Admin Support,
Christian,Gärtner,Password@123,Plant,Admin Support,
Declan,Glew,Password@123,Plant,Admin Support,
Maddison,Glynde,Password@123,Plant,Admin Support,
Charles,Goddard,Password@123,Plant,Admin Support,
Caitlin,Goldie,Password@123,Plant,Admin Support,
Mollie,Gordon,Password@123,Plant,Admin Support,
Jade,Grant,Password@123,Plant,Admin Support,
Lubna,Groffen,Password@123,Plant,Fabrication,Management
Måns,Gustafsson,Password@123,Plant,Fabrication,Management
Signe,Gustavsson,Password@123,Plant,Fabrication,Management
Vide,Gustavsson,Password@123,Plant,Fabrication,
Eric,Haarsma,Password@123,Plant,Fabrication,
Wolfgang,Hahn,Password@123,Plant,Fabrication,
Phoebe,Halley,Password@123,Plant,Fabrication,
Beau,Halligan,Password@123,Plant,Fabrication,
Erin,Hamilton,Password@123,Plant,Fabrication,
Natasha,Hanigan,Password@123,Plant,Fabrication,
Matteo,Hansson,Password@123,Plant,Fabrication,
Charlie,Harding,Password@123,Plant,Fabrication,
Zachary,Hardy,Password@123,Plant,Fabrication,
Chelsea,Harrison,Password@123,Plant,Fabrication,
Allison,Hash,Password@123,Plant,Fabrication,
Layla,Hawdon,Password@123,Plant,Fabrication,
Donald,Hawkins,Password@123,Plant,Fabrication,
Isabella,Hayward,Password@123,Plant,Fabrication,
Youssef,Hellström,Password@123,Plant,Fabrication,
Summer,Henschke,Password@123,Plant,Fabrication,
Rose,Henschke,Password@123,Plant,Fabrication,
Maik,Herz,Password@123,Plant,Fabrication,
David,Holley,Password@123,Plant,Fabrication,
Freja,Holmberg,Password@123,Plant,Fabrication,
Nanna,Holmgren,Password@123,Plant,Fabrication,
Gracie,Holt,Password@123,Plant,Fabrication,
Ellie,Hope,Password@123,Plant,Fabrication,
Matthias,Hueber,Password@123,Plant,Fabrication,
Sophie,Hueber,Password@123,Plant,Fabrication,
Liam,Humphries,Password@123,Plant,Fabrication,
Aimee,Hurst,Password@123,Plant,Fabrication,
Miriam,Iadanza,Password@123,Plant,Fabrication,
Sienna,Inglis,Password@123,Plant,Fabrication,
Patrick,Jackson,Password@123,Plant,Fabrication,
Isabelle,Jakobsson,Password@123,Plant,Fabrication,
Ceasar,Jakobsson,Password@123,Plant,Fabrication,
Joanna,Johansson,Password@123,Plant,Fabrication,
Maria,Johnson,Password@123,Plant,Fabrication,
Aurora,Johnsson,Password@123,Plant,Manufactuing,Management
Nea,Jonsson,Password@123,Plant,Manufactuing,
Aiden,Kable,Password@123,Plant,Manufactuing,
Markus,Kalb,Password@123,Plant,Manufactuing,
Kas,Kapteijn,Password@123,Plant,Manufactuing,
Anıl,Koele,Password@123,Plant,Manufactuing,
Ute,Kohl,Password@123,Plant,Manufactuing,
Hennie,Koopmans,Password@123,Plant,Manufactuing,
Maximilian,Krueger,Password@123,Plant,Manufactuing,
Steffen,Kruger,Password@123,Plant,Manufactuing,
