First Name,Last Name,Password,Group1,Group2,Group3
Katrin,Pfeifer,Password@123,HQ,Engineering,Summer Student
Markus,Weber,Password@123,HQ,Engineering,Summer Student
Sophia,Abt,Password@123,HQ,Engineering,Summer Student
Anja,Faber,Password@123,HQ,Engineering,Summer Student
Jana,Shuster,Password@123,HQ,Engineering,Summer Student
Leah,Schulz,Password@123,HQ,Engineering,Summer Student
Dirk,Schmitz,Password@123,HQ,Engineering,Summer Student
Jörg,Ebersbacher,Password@123,HQ,Engineering,Summer Student
Tobias,Kirsch,Password@123,Plant,Manufactuing,Summer Student
Daniela,Hofmann,Password@123,Plant,Manufactuing,Summer Student
Laura,Freytag,Password@123,Plant,Manufactuing,Summer Student
Jörg,Egger,Password@123,Plant,Manufactuing,Summer Student
Sebastian,Vogler,Password@123,Plant,Manufactuing,Summer Student
Julia,Huber,Password@123,Plant,Manufactuing,Summer Student
Kristin,Engel,Password@123,Plant,Manufactuing,Summer Student
